x,v
0.759967,-1.00628
0.749904,-1.08026
0.739101,-1.15309
0.727571,-1.22469
0.715324,-1.295
0.702374,-1.36394
0.688734,-1.43145
0.67442,-1.49746
0.659445,-1.56191
0.643826,-1.62473
0.627579,-1.68587
0.61072,-1.74525
0.593267,-1.80283
0.575239,-1.85855
0.556654,-1.91236
0.53753,-1.9642
0.517888,-2.01403
0.497748,-2.06179
0.47713,-2.10744
0.456055,-2.15094
0.434546,-2.19224
0.412624,-2.23131
0.390311,-2.26811
0.367629,-2.3026
0.344603,-2.33476
0.321256,-2.36455
0.29761,-2.39195
0.273691,-2.41693
0.249521,-2.43946
0.225127,-2.45953
0.200532,-2.47713
0.17576,-2.49223
0.150838,-2.50482
0.12579,-2.51489
0.100641,-2.52244
0.0754164,-2.52746
0.0501418,-2.52995
0.0248423,-2.5299
-0.000456712,-2.52733
-0.02573,-2.52223
-0.0509522,-2.51461
-0.0760983,-2.50448
-0.101143,-2.49187
-0.126062,-2.47677
-0.15083,-2.45921
-0.175422,-2.43921
-0.199814,-2.41679
-0.223982,-2.39197
-0.247901,-2.36479
-0.271549,-2.33527
-0.294902,-2.30344
-0.317936,-2.26935
-0.34063,-2.23301
-0.36296,-2.19449
-0.384905,-2.1538
-0.406443,-2.111
-0.427553,-2.06614
-0.448214,-2.01925
-0.468407,-1.97039
-0.488111,-1.91961
-0.507307,-1.86696
-0.525976,-1.81249
-0.544101,-1.75627
-0.561664,-1.69835
-0.578647,-1.63878
-0.595035,-1.57764
-0.610812,-1.51498
-0.625961,-1.45087
-0.64047,-1.38537
-0.654324,-1.31856
-0.667509,-1.25049
-0.680014,-1.18124
-0.691827,-1.11087
-0.702935,-1.03947
-0.71333,-0.967094
-0.723001,-0.893827
-0.731939,-0.819739
-0.740137,-0.744906
-0.747586,-0.669402
-0.75428,-0.593305
-0.760213,-0.51669
-0.76538,-0.439636
-0.769776,-0.362219
-0.773398,-0.284517
-0.776243,-0.206608
-0.778309,-0.12857
-0.779595,-0.0504821
-0.7801,0.0275784
-0.779824,0.105533
-0.778769,0.183305
-0.776936,0.260815
-0.774328,0.337987
-0.770948,0.414744
-0.7668,0.491009
-0.76189,0.566707
-0.756223,0.641763
-0.749806,0.716101
-0.742645,0.78965
-0.734748,0.862335
-0.726125,0.934085
-0.716784,1.00483
-0.706736,1.0745
-0.695991,1.14302
-0.68456,1.21034
-0.672457,1.27637
-0.659693,1.34106
-0.646283,1.40435
-0.632239,1.46617
-0.617577,1.52646
-0.602313,1.58517
-0.586461,1.64223
-0.570039,1.69759
-0.553063,1.7512
-0.535551,1.803
-0.517521,1.85295
-0.498991,1.901
-0.479981,1.94709
-0.460511,1.9912
-0.440599,2.03327
-0.420266,2.07326
-0.399533,2.11114
-0.378422,2.14687
-0.356953,2.18042
-0.335149,2.21175
-0.313031,2.24085
-0.290623,2.26767
-0.267946,2.29219
-0.245024,2.3144
-0.22188,2.33428
-0.198537,2.3518
-0.175019,2.36695
-0.15135,2.37972
-0.127553,2.39009
-0.103652,2.39807
-0.0796713,2.40364
-0.0556349,2.4068
-0.031567,2.40755
-0.00749151,2.40589
0.0165674,2.40182
0.0405856,2.39536
0.0645392,2.38651
0.0884044,2.37529
0.112157,2.3617
0.135774,2.34576
0.159232,2.32749
0.182507,2.30691
0.205576,2.28405
0.228416,2.25892
0.251005,2.23156
0.273321,2.202
0.295341,2.17026
0.317044,2.13639
0.338408,2.10041
0.359412,2.06237
0.380035,2.0223
0.400258,1.98025
0.420061,1.93627
0.439424,1.89039
0.458327,1.84267
0.476754,1.79315
0.494686,1.74189
0.512104,1.68893
0.528994,1.63435
0.545337,1.57818
0.561119,1.52049
0.576324,1.46133
0.590937,1.40078
0.604945,1.33888
0.618334,1.27571
0.631091,1.21133
0.643204,1.1458
0.654662,1.07918
0.665454,1.01156
0.67557,0.94299
0.684999,0.873547
0.693735,0.8033
0.701768,0.73232
0.709091,0.660679
0.715698,0.588448
0.721582,0.515701
0.726739,0.442512
0.731165,0.368953
0.734854,0.295098
0.737805,0.221023
0.740015,0.1468
0.741483,0.0725051
0.742208,-0.00178825
0.74219,-0.0760055
0.74143,-0.150073
0.73993,-0.223915
0.737691,-0.297461
0.734716,-0.370635
0.73101,-0.443365
0.726576,-0.515579
0.72142,-0.587206
0.715548,-0.658173
0.708966,-0.728412
0.701682,-0.797852
0.693704,-0.866424
0.685039,-0.934062
0.675699,-1.0007
0.665692,-1.06627
0.655029,-1.1307
0.643722,-1.19394
0.631783,-1.25593
0.619223,-1.31659
0.606058,-1.37588
0.592299,-1.43374
0.577961,-1.4901
0.56306,-1.54492
0.547611,-1.59813
0.53163,-1.6497
0.515133,-1.69956
0.498137,-1.74768
0.48066,-1.79399
0.462721,-1.83847
0.444336,-1.88107
0.425525,-1.92174
0.406308,-1.96045
0.386703,-1.99716
0.366732,-2.03183
0.346413,-2.06444
0.325769,-2.09495
0.304819,-2.12334
0.283586,-2.14958
0.26209,-2.17364
0.240354,-2.1955
0.218399,-2.21514
0.196247,-2.23255
0.173922,-2.24771
0.151445,-2.26061
0.128839,-2.27123
0.106126,-2.27957
0.0833307,-2.28563
0.0604744,-2.28939
0.0375805,-2.29086
0.0146719,-2.29003
-0.0082284,-2.28692
-0.0310976,-2.28152
-0.0539129,-2.27385
-0.0766514,-2.26391
-0.0992905,-2.25172
-0.121808,-2.23729
-0.144181,-2.22063
-0.166387,-2.20177
-0.188405,-2.18073
-0.210212,-2.15753
-0.231787,-2.13219
-0.253109,-2.10475
-0.274157,-2.07523
-0.294909,-2.04366
-0.315345,-2.01008
-0.335446,-1.97453
-0.355192,-1.93704
-0.374562,-1.89764
-0.393538,-1.85639
-0.412102,-1.81332
-0.430236,-1.76849
-0.44792,-1.72193
-0.46514,-1.67369
-0.481877,-1.62383
-0.498115,-1.57239
-0.513839,-1.51944
-0.529033,-1.46502
-0.543683,-1.40918
-0.557775,-1.352
-0.571295,-1.29351
-0.58423,-1.2338
-0.596568,-1.17291
-0.608297,-1.1109
-0.619406,-1.04785
-0.629885,-0.983816
-0.639723,-0.91886
-0.648912,-0.85305
-0.657442,-0.786453
-0.665307,-0.719136
-0.672498,-0.651167
-0.67901,-0.582614
-0.684836,-0.513548
-0.689971,-0.444038
-0.694412,-0.374152
-0.698153,-0.303963
-0.701193,-0.23354
-0.703528,-0.162953
-0.705158,-0.0922745
-0.706081,-0.0215742
-0.706296,0.049077
-0.705806,0.119608
-0.704609,0.18995
-0.70271,0.260031
-0.70011,0.329782
-0.696812,0.399133
-0.69282,0.468016
-0.68814,0.536362
-0.682777,0.604103
-0.676736,0.671173
-0.670024,0.737504
-0.662649,0.803031
-0.654619,0.86769
-0.645942,0.931417
-0.636627,0.994148
-0.626686,1.05582
-0.616128,1.11638
-0.604964,1.17576
-0.593206,1.2339
-0.580867,1.29076
-0.56796,1.34626
-0.554497,1.40037
-0.540493,1.45301
-0.525963,1.50416
-0.510922,1.55375
-0.495384,1.60173
-0.479367,1.64807
-0.462886,1.69271
-0.445959,1.73561
-0.428603,1.77673
-0.410836,1.81604
-0.392675,1.85349
-0.37414,1.88905
-0.35525,1.92269
-0.336023,1.95437
-0.316479,1.98406
-0.296639,2.01174
-0.276521,2.03738
-0.256148,2.06096
-0.235538,2.08245
-0.214713,2.10184
-0.193695,2.11911
-0.172504,2.13424
-0.151161,2.14722
-0.129689,2.15804
-0.108109,2.1667
-0.0864418,2.17317
-0.0647101,2.17747
-0.0429353,2.17959
-0.0211395,2.17952
0.000655766,2.17728
0.0224285,2.17286
0.0441571,2.16627
0.0658198,2.15752
0.087395,2.14662
0.108861,2.13359
0.130197,2.11844
0.151382,2.10118
0.172393,2.08184
0.193212,2.06044
0.213816,2.037
0.234186,2.01154
0.254301,1.9841
0.274142,1.9547
0.293689,1.92338
0.312923,1.89016
0.331825,1.85509
0.350376,1.8182
0.368558,1.77952
0.386353,1.73911
0.403744,1.69699
0.420714,1.65322
0.437246,1.60785
0.453325,1.56091
0.468934,1.51245
0.484058,1.46253
