x,y,vx,vy
85.0366,29.0291,15.5022,-11.8002
85.1914,28.9107,15.4771,-11.8791
85.3461,28.7915,15.4519,-11.9578
85.5005,28.6716,15.4267,-12.0363
85.6546,28.5508,15.4015,-12.1147
85.8085,28.4293,15.3764,-12.1929
85.9622,28.307,15.3512,-12.271
86.1155,28.1839,15.3261,-12.3489
86.2687,28.06,15.3009,-12.4267
86.4216,27.9353,15.2758,-12.5043
86.5742,27.8099,15.2506,-12.5817
86.7266,27.6837,15.2255,-12.659
86.8787,27.5567,15.2003,-12.7361
87.0306,27.429,15.1752,-12.813
87.1822,27.3005,15.1501,-12.8898
87.3336,27.1712,15.125,-12.9665
87.4847,27.0411,15.0998,-13.043
87.6356,26.9103,15.0747,-13.1193
87.7862,26.7787,15.0496,-13.1954
87.9366,26.6464,15.0245,-13.2714
88.0867,26.5133,14.9994,-13.3473
88.2366,26.3795,14.9742,-13.4229
88.3862,26.2449,14.9491,-13.4985
88.5355,26.1095,14.924,-13.5738
88.6847,25.9734,14.8989,-13.649
88.8335,25.8365,14.8738,-13.724
88.9821,25.6989,14.8487,-13.7989
89.1305,25.5605,14.8236,-13.8736
89.2786,25.4214,14.7985,-13.9481
89.4265,25.2816,14.7734,-14.0225
89.5741,25.141,14.7484,-14.0967
89.7214,24.9996,14.7233,-14.1707
89.8685,24.8576,14.6982,-14.2446
90.0154,24.7148,14.6731,-14.3183
90.162,24.5712,14.648,-14.3918
90.3084,24.4269,14.6229,-14.4652
90.4545,24.2819,14.5979,-14.5384
90.6003,24.1362,14.5728,-14.6114
90.7459,23.9897,14.5477,-14.6843
90.8913,23.8425,14.5226,-14.757
91.0364,23.6945,14.4976,-14.8296
91.1812,23.5459,14.4725,-14.9019
91.3258,23.3965,14.4474,-14.9741
91.4702,23.2464,14.4224,-15.0462
91.6143,23.0956,14.3973,-15.118
91.7581,22.944,14.3722,-15.1897
91.9017,22.7918,14.3472,-15.2613
92.0451,22.6388,14.3221,-15.3326
92.1881,22.4851,14.2971,-15.4038
92.331,22.3307,14.272,-15.4748
92.4736,22.1756,14.2469,-15.5457
92.6159,22.0198,14.2219,-15.6164
92.758,21.8633,14.1969,-15.6869
92.8999,21.7061,14.1718,-15.7572
93.0415,21.5482,14.1468,-15.8274
93.1828,21.3895,14.1217,-15.8974
93.3239,21.2302,14.0967,-15.9672
93.4647,21.0702,14.0717,-16.0369
93.6053,20.9095,14.0466,-16.1064
93.7457,20.7481,14.0216,-16.1757
93.8858,20.586,13.9966,-16.2448
94.0256,20.4232,13.9715,-16.3138
94.1652,20.2597,13.9465,-16.3826
94.3045,20.0955,13.9215,-16.4512
94.4436,19.9307,13.8965,-16.5196
94.5825,19.7651,13.8715,-16.5879
94.7211,19.5989,13.8465,-16.656
94.8594,19.432,13.8215,-16.724
94.9975,19.2644,13.7965,-16.7917
95.1353,19.0962,13.7715,-16.8593
95.2729,18.9272,13.7465,-16.9267
95.4103,18.7576,13.7215,-16.9939
95.5473,18.5874,13.6965,-17.061
95.6842,18.4164,13.6715,-17.1279
95.8208,18.2448,13.6465,-17.1946
95.9571,18.0725,13.6215,-17.2611
96.0932,17.8996,13.5966,-17.3275
96.229,17.726,13.5716,-17.3937
96.3646,17.5517,13.5466,-17.4597
96.5,17.3768,13.5217,-17.5256
96.6351,17.2012,13.4967,-17.5912
96.7699,17.025,13.4718,-17.6567
96.9045,16.8481,13.4468,-17.722
97.0388,16.6705,13.4219,-17.7872
97.1729,16.4923,13.3969,-17.8521
97.3068,16.3135,13.372,-17.9169
97.4404,16.134,13.3471,-17.9815
97.5737,15.9538,13.3222,-18.046
97.7068,15.7731,13.2972,-18.1102
97.8397,15.5916,13.2723,-18.1743
97.9723,15.4096,13.2474,-18.2382
98.1046,15.2269,13.2225,-18.3019
98.2367,15.0435,13.1976,-18.3655
98.3686,14.8596,13.1728,-18.4289
98.5002,14.675,13.1479,-18.4921
98.6315,14.4897,13.123,-18.5551
98.7626,14.3039,13.0981,-18.6179
98.8935,14.1174,13.0733,-18.6806
99.0241,13.9303,13.0484,-18.7431
99.1545,13.7425,13.0236,-18.8054
99.2846,13.5541,12.9987,-18.8676
99.4144,13.3652,12.9739,-18.9295
99.5441,13.1756,12.9491,-18.9913
99.6734,12.9853,12.9243,-19.0529
99.8025,12.7945,12.8995,-19.1144
